t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
1379.372357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.374357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.376367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.378357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.380367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.382357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.384367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.386357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.388367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.390357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.392367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.394357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.396367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.398357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.400367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.402357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.404367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.406357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.408367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.410357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.412367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.414357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.416367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.418357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.420367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.422357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.424367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.426357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.428367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.430357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.432367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.434357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.436367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.438357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.440371,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.442359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.444357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.446357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.448367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.450357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.452357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.454357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.456357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.458357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.460367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.462357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.464367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.466357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.468367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.470357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.472367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.474357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.476358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
