t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
249.347640,6.982903,5.074148,,,0.300000,0.300000,,
249.352640,6.978144,5.074148,,,0.300000,0.300000,,
249.357640,6.673504,5.083668,,,0.300000,0.300000,,
249.362640,6.978144,5.074148,,,0.300000,0.300000,,
249.367640,6.978144,5.074148,,,0.300000,0.300000,,
249.372640,7.297063,5.074148,,,0.300000,0.300000,,
249.377640,6.978144,5.074148,,,0.300000,0.300000,,
249.382640,7.297063,5.074148,,,0.300000,0.300000,,
249.387640,6.978144,5.074148,,,0.300000,0.300000,,
249.392640,6.978144,5.074148,,,0.300000,0.300000,,
249.397697,6.954344,5.374027,,,0.300000,0.300000,,
249.402657,7.287543,5.388308,,,0.300000,0.300000,,
249.407684,7.273263,5.378788,,,0.300000,0.300000,,
249.412668,6.992424,5.083668,,,0.300000,0.300000,,
249.417640,6.668745,5.078908,,,0.300000,0.300000,,
249.422640,6.997184,4.769509,,,0.300000,0.300000,,
249.427640,6.992424,5.083668,,,0.300000,0.300000,,
249.432640,7.297063,5.074148,,,0.300000,0.300000,,
249.437640,6.978144,5.393067,,,0.300000,0.300000,,
249.442640,7.297063,5.074148,,,0.300000,0.300000,,
249.447640,6.978144,5.393067,,,0.300000,0.300000,,
249.452640,7.297063,5.074148,,,0.300000,0.300000,,
249.457640,6.978144,5.393067,,,0.300000,0.300000,,
249.462640,7.297063,5.074148,,,0.300000,0.300000,,
249.467640,6.978144,5.393067,,,0.300000,0.300000,,
249.472640,7.297063,5.074148,,,0.300000,0.300000,,
249.477640,6.978144,5.393067,,,0.300000,0.300000,,
249.482640,7.297063,5.393067,,,0.300000,0.300000,,
249.487640,6.978144,5.393067,,,0.300000,0.300000,,
249.492640,7.297063,5.393067,,,0.300000,0.300000,,
249.497640,7.297063,5.074148,,,0.300000,0.300000,,
249.502640,7.297063,5.393067,,,0.300000,0.300000,,
249.507640,6.978144,5.393067,,,0.300000,0.300000,,
249.512644,6.978144,5.393067,,,0.300000,0.300000,,
249.517640,7.297063,5.393067,,,0.300000,0.300000,,
249.522640,7.297063,5.074148,,,0.300000,0.300000,,
249.527640,6.982903,5.393067,,,0.300000,0.300000,,
249.532640,6.978144,5.393067,,,0.300000,0.300000,,
249.537640,7.297063,5.393067,,,0.300000,0.300000,,
249.542640,7.297063,5.393067,,,0.300000,0.300000,,
249.547640,6.978144,5.393067,,,0.300000,0.300000,,
249.552640,6.978144,5.393067,,,0.300000,0.300000,,
249.557640,6.978144,5.393067,,,0.300000,0.300000,,
249.562640,7.297063,5.393067,,,0.300000,0.300000,,
249.567640,6.978144,5.393067,,,0.300000,0.300000,,
249.572640,7.297063,5.393067,,,0.300000,0.300000,,
249.577640,6.978144,5.393067,,,0.300000,0.300000,,
249.582640,6.978144,5.393067,,,0.300000,0.300000,,
249.587640,6.978144,5.393067,,,0.300000,0.300000,,
249.592640,7.297063,5.393067,,,0.300000,0.300000,,
249.597640,7.297063,5.711987,,,0.300000,0.300000,,
249.602640,6.978144,5.393067,,,0.300000,0.300000,,
249.607640,6.978144,5.393067,,,0.300000,0.300000,,
249.612640,6.978144,5.393067,,,0.300000,0.300000,,
249.617640,6.978144,5.393067,,,0.300000,0.300000,,
249.622640,6.978144,5.393067,,,0.300000,0.300000,,
249.627640,6.978144,5.393067,,,0.300000,0.300000,,
249.632640,7.297063,5.711987,,,0.300000,0.300000,,
249.637640,6.978144,5.393067,,,0.300000,0.300000,,
249.642640,7.297063,5.393067,,,0.300000,0.300000,,
249.647640,6.978144,5.393067,,,0.300000,0.300000,,
249.652640,6.978144,5.711987,,,0.300000,0.300000,,
249.657640,6.978144,5.393067,,,0.300000,0.300000,,
249.662640,6.978144,5.393067,,,0.300000,0.300000,,
249.667640,6.978144,5.393067,,,0.300000,0.300000,,
249.672640,6.978144,5.711987,,,0.300000,0.300000,,
249.677640,6.978144,5.711987,,,0.300000,0.300000,,
249.682640,7.297063,5.711987,,,0.300000,0.300000,,
249.687640,6.978144,5.393067,,,0.300000,0.300000,,
249.692640,7.297063,5.393067,,,0.300000,0.300000,,
249.697640,6.978144,5.393067,,,0.300000,0.300000,,
249.702640,6.978144,5.711987,,,0.300000,0.300000,,
249.707640,6.978144,5.711987,,,0.300000,0.300000,,
249.712640,6.978144,5.711987,,,0.300000,0.300000,,
249.717640,7.297063,5.711987,,,0.300000,0.300000,,
249.722640,6.978144,5.711987,,,0.300000,0.300000,,
249.727640,7.297063,5.711987,,,0.300000,0.300000,,
249.732640,6.978144,5.711987,,,0.300000,0.300000,,
249.737640,7.297063,5.711987,,,0.300000,0.300000,,
249.742640,6.978144,5.711987,,,0.300000,0.300000,,
249.747640,6.978144,5.711987,,,0.300000,0.300000,,
249.752640,6.978144,5.711987,,,0.300000,0.300000,,
249.757640,6.978144,5.711987,,,0.300000,0.300000,,
249.762640,7.297063,5.711987,,,0.300000,0.300000,,
249.767640,6.978144,5.711987,,,0.300000,0.300000,,
249.772640,6.978144,5.711987,,,0.300000,0.300000,,
249.777640,6.978144,5.711987,,,0.300000,0.300000,,
249.782640,6.978144,5.711987,,,0.300000,0.300000,,
249.787640,7.297063,5.711987,,,0.300000,0.300000,,
249.792640,6.978144,5.711987,,,0.300000,0.300000,,
249.797641,7.297063,5.707227,,,0.300000,0.300000,,
249.802640,6.978144,5.711987,,,0.300000,0.300000,,
249.807640,6.978144,6.026146,,,0.300000,0.300000,,
249.812640,6.978144,6.026146,,,0.300000,0.300000,,
249.817640,6.978144,6.026146,,,0.300000,0.300000,,
249.822640,6.978144,5.711987,,,0.300000,0.300000,,
249.827640,6.978144,5.711987,,,0.300000,0.300000,,
249.832642,6.978144,5.707227,,,0.300000,0.300000,,
