t,velL,velR,velL_sp,velR_sp,mL,mR
2604.429956,29.645210,-28.688454,,,1.000000,1.000000
2604.434956,31.415926,-31.415926,,,1.000000,1.000000
2604.439956,32.367924,-31.415926,,,1.000000,1.000000
2604.444956,31.415926,-31.415926,,,1.000000,1.000000
2604.449956,31.415926,-31.415926,,,1.000000,1.000000
2604.454956,31.415926,-31.415926,,,1.000000,1.000000
2604.459956,31.415926,-31.415926,,,1.000000,1.000000
2604.464956,32.367924,-31.415926,,,1.000000,1.000000
2604.469956,31.415926,-30.463928,,,1.000000,1.000000
2604.474956,31.415926,-31.415926,,,1.000000,1.000000
2604.479956,31.415926,-31.415926,,,1.000000,1.000000
2604.484956,32.367924,-31.415926,,,1.000000,1.000000
2604.489956,31.415926,-31.415926,,,1.000000,1.000000
2604.494956,31.415926,-31.415926,,,1.000000,1.000000
2604.499956,31.415926,-31.415926,,,1.000000,1.000000
2604.504956,32.367924,-31.415926,,,1.000000,1.000000
2604.509956,31.415926,-31.415926,,,1.000000,1.000000
2604.514956,31.415926,-31.415926,,,1.000000,1.000000
2604.519956,31.415926,-31.415926,,,1.000000,1.000000
